"Niche","Cluster_name","n_samples","Genus","mean_abundance","sd_abundance","min_abundance","max_abundance"
"Nose","Str3",11,"g__Promicromonospora",0.0429475278188342,0.142440835448424,0,0.472422806007177
"Nose","Str3",11,"g__Curvibacter",0.033708176225991,0.11179737290879,0,0.3707899384859
"Nose","Vei5/Pre4",2,"g__Veillonella",0.635626883389645,0.515301403274518,0.27125376677929,1
"Nose","Vei5/Pre4",2,"g__Rothia",0.151561501232764,0.214340330577002,0,0.303123002465528
"Nose","Vei5/Pre4",2,"g__Atopobium",0.106268833896448,0.15028682615393,0,0.212537667792896
"Nose","Vei5/Pre4",2,"g__Streptococcus",0.0472787873253584,0.0668623022480751,0,0.0945575746507168
"Nose","Vei5/Pre4",2,"g__Moraxella",0.0203862660944206,0.0288305339968764,0,0.0407725321888412
"Sputum","Enh21",1,"g__Enhydrobacter",0.408474576271186,NA,0.408474576271186,0.408474576271186
"Sputum","Enh21",1,"g__Rothia",0.331387319522913,NA,0.331387319522913,0.331387319522913
"Sputum","Enh21",1,"g__Streptococcus",0.112806026365348,NA,0.112806026365348,0.112806026365348
"Sputum","Enh21",1,"g__Cutibacterium",0.0421845574387947,NA,0.0421845574387947,0.0421845574387947
"Sputum","Enh21",1,"g__Luteolibacter",0.0332705586942875,NA,0.0332705586942875,0.0332705586942875
"Sputum","Gem15",4,"g__Gemella",0.136162085667406,0.0690316289723678,0.064697592203325,0.20736736997482
"Sputum","Gem15",4,"g__Prevotella_7",0.129618695078296,0.0969339078594308,0.042157853373751,0.24682298192232
"Sputum","Gem15",4,"g__Alloprevotella",0.110341097608736,0.0558308552911458,0.0703418650438518,0.188980577074211
"Sputum","Gem15",4,"g__Haemophilus",0.10338477229024,0.0783196644950096,0.00304277787721496,0.187320848461685
"Sputum","Gem15",4,"g__Neisseria",0.0777964468514049,0.0726686374873383,0.00249630980290006,0.177156984521307
"Sputum","Hae12",2,"g__Haemophilus",0.476579476992676,0.218428482447385,0.322127215849844,0.631031738135509
"Sputum","Hae12",2,"g__Streptococcus",0.103211561598932,0.109450562663804,0.0258183265346732,0.180604796663191
"Sputum","Hae12",2,"g__Veillonella",0.0918734008174577,0.0429033295521289,0.0615361655556661,0.122210636079249
"Sputum","Hae12",2,"g__Prevotella",0.0672441082284312,0.0646012457275876,0.0215641293013556,0.112924087155507
"Sputum","Hae12",2,"g__Prevotella_7",0.039371367651671,0.0159307079174724,0.028106656054124,0.0506360792492179
"Sputum","Hae8/Str3/Vei5",1,"g__Haemophilus",0.209765899087836,NA,0.209765899087836,0.209765899087836
"Sputum","Hae8/Str3/Vei5",1,"g__Prevotella_7",0.208936658799515,NA,0.208936658799515,0.208936658799515
"Sputum","Hae8/Str3/Vei5",1,"g__Porphyromonas",0.12983989283664,NA,0.12983989283664,0.12983989283664
"Sputum","Hae8/Str3/Vei5",1,"g__Veillonella",0.122025897812081,NA,0.122025897812081,0.122025897812081
"Sputum","Hae8/Str3/Vei5",1,"g__Prevotella",0.0663073292083945,NA,0.0663073292083945,0.0663073292083945
"Sputum","Hae9",1,"g__Haemophilus",0.318746040312551,NA,0.318746040312551,0.318746040312551
"Sputum","Hae9",1,"g__Prevotella_7",0.28612994814276,NA,0.28612994814276,0.28612994814276
"Sputum","Hae9",1,"g__Streptococcus",0.104441889386864,NA,0.104441889386864,0.104441889386864
"Sputum","Hae9",1,"g__Veillonella",0.0961118802355867,NA,0.0961118802355867,0.0961118802355867
"Sputum","Hae9",1,"g__Alloprevotella",0.0630499565900932,NA,0.0630499565900932,0.0630499565900932
"Sputum","Mix",3,"g__Bordetella",0.258198410677298,0.344892516464247,0,0.649882903981265
"Sputum","Mix",3,"g__Prevotella_7",0.111281268056088,0.0357175019982716,0.070133113656572,0.134276500172765
"Sputum","Mix",3,"g__Stenotrophomonas",0.0849721821873014,0.147176136778405,0,0.254916546561904
"Sputum","Mix",3,"g__Haemophilus",0.0663904673897364,0.0472336514505613,0.0363381579452528,0.120833139615975
