"ASV","Contaminant","Genus","Family","Order","Phylum","Kingdom"
"ASV_21830",TRUE,"g__","f__","o__0319-6G20","p__Bdellovibrionota","k__Bacteria"
"ASV_21841",TRUE,"g__","f__","o__","p__NB1-j","k__Bacteria"
"ASV_22045",TRUE,"g__OM60(NOR5) clade","f__Halieaceae","o__Pseudomonadales","p__Proteobacteria","k__Bacteria"
"ASV_22086",TRUE,"g__Legionella","f__Legionellaceae","o__Legionellales","p__Proteobacteria","k__Bacteria"
"ASV_22281",TRUE,"g__Flectobacillus","f__Spirosomaceae","o__Cytophagales","p__Bacteroidota","k__Bacteria"
"ASV_22323",TRUE,"g__","f__","o__","p__MBNT15","k__Bacteria"
"ASV_22348",TRUE,"g__","f__Oligoflexaceae","o__Oligoflexales","p__Bdellovibrionota","k__Bacteria"
"ASV_22368",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_22561",TRUE,"g__","f__SB-5","o__Bacteroidales","p__Bacteroidota","k__Bacteria"
"ASV_22564",TRUE,"g__","f__SB-5","o__Bacteroidales","p__Bacteroidota","k__Bacteria"
"ASV_22566",TRUE,"g__","f__Paludibacteraceae","o__Bacteroidales","p__Bacteroidota","k__Bacteria"
"ASV_22699",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_22769",TRUE,"g__RB41","f__Pyrinomonadaceae","o__Pyrinomonadales","p__Acidobacteriota","k__Bacteria"
"ASV_22820",TRUE,"g__","f__","o__Nov-24","p__Acidobacteriota","k__Bacteria"
"ASV_22830",TRUE,"g__","f__","o__Nov-24","p__Acidobacteriota","k__Bacteria"
"ASV_22876",TRUE,"g__","f__","o__Vicinamibacterales","p__Acidobacteriota","k__Bacteria"
"ASV_22941",TRUE,"g__","f__","o__Campylobacterales","p__Campylobacterota","k__Bacteria"
"ASV_22947",TRUE,"g__","f__","o__Campylobacterales","p__Campylobacterota","k__Bacteria"
"ASV_22948",TRUE,"g__","f__","o__Campylobacterales","p__Campylobacterota","k__Bacteria"
"ASV_23028",TRUE,"g__","f__LWQ8","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23384",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_23484",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23496",TRUE,"g__","f__LWQ8","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23555",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23558",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23626",TRUE,"g__TM7a","f__Saccharimonadaceae","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23633",TRUE,"g__TM7a","f__Saccharimonadaceae","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23647",TRUE,"g__TM7a","f__Saccharimonadaceae","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23739",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23780",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23816",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23887",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_23895",TRUE,"g__","f__BSV26","o__Kryptoniales","p__Bacteroidota","k__Bacteria"
"ASV_23925",TRUE,"g__","f__","o__","p__","k__Bacteria"
